Title	2017[8]	2016[9]	2015[10]	2014[11]	2013[12]	2012[13]	2011[14]	2010[15][16]
The Sun	1,666,715	1,787,096	1,978,702	2,213,659	2,409,811	2,582,301	3,001,822	3,006,565
Daily Mail	1,511,357	1,589,471	1,688,727	1,780,565	1,863,151	1,945,496	2,136,568	2,120,347
Metro	1,476,956	1,348,033	?	1,362,893[17]	?	?	?	?
Evening Standard	887,253	898,407	877,532[18]	805,309[19]	695,645[20]	699,368[21]	704,008[22]	601,960[23]
Daily Mirror	724,888	809,147	922,235	992,256	1,058,488	1,102,810	1,194,097	1,218,425
Daily Telegraph	472,258	472,033	494,675	544,546	555,817	578,774	651,184	691,128
The Times	451,261	404,155	396,621	384,304	399,339	397,549	457,250	508,250
Daily Star	443,452	470,369	425,246	489,067	535,957	617,082	734,311	779,376
Daily Express	392,526	408,700	457,914	500,473	529,648	577,543	639,875	674,640
i	266,768	271,859	280,351	298,266	293,946	264,432	133,472	N/A
Financial Times	188,924	198,237	219,444	234,193	275,375	316,493	383,067	390,315
The Guardian	156,756	164,163	185,429	207,958	204,440	215,988	279,308	302,285
Daily Record	155,772	176,892	203,725	227,639	251,535	291,825	306,872	323,831
City A.M.	90,319	97,259	?	?	?	?	?	?
The Independent	N/A	55,193	61,338	66,576	76,802	105,160	185,035	185,815
The New Day	N/A	40,000[24]	N/A	N/A	N/A	N/A	N/A	N/A
The New European	20,000[25]	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fullname,disambiguation,sunday,website,newsapiid,Yes,Yes
